Id,Name,Birthdate,Handedness,School,Draft,Year,Team,Age,Pos.,G,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,WAR
12567,주효상,1997년 11월 11일,우투좌타,역북초-강남중-서울고,16 넥센 1차,2025,KIA,28,C,8,0.21,-0.12,17,17,15,1,5,2,0,0,7,1,0,0,2,0,0,4,0,0,0,0.333,0.412,0.467,0.879,0.182,157.2,0.09
12583,장진혁,1993년 09월 30일,우투좌타,광주화정초-충장중-광주제일고-단국대,16 한화 2차 4라운드 39순위,2025,KT,32,LF,86,-0.16,0.15,157,153,139,19,29,3,1,4,46,19,1,0,13,0,0,46,1,4,1,0.209,0.275,0.331,0.606,0.075,60.9,-0.01
12585,김태연,1997년 06월 10일,우투우타,서울청구초-덕수중-야탑고,16 한화 2차 6라운드 59순위,2025,한화,28,1B,120,0.07,0.43,340,334,303,40,79,15,0,3,103,20,5,3,23,8,0,62,10,6,0,0.261,0.329,0.34,0.669,0.103,85.6,0.49
12589,김인환,1994년 01월 28일,우투좌타,화순초-화순중-화순고-성균관대,16 한화 육성선수,2025,한화,31,1B,10,-0.3,-0.06,26,26,25,2,2,0,0,1,5,3,0,0,1,0,0,9,1,0,0,0.08,0.115,0.2,0.315,-0.045,-39.4,-0.36
12606,홍성호,1997년 07월 15일,우투좌타,인헌초-선린중-선린고,16 두산 2차 4라운드 36순위,2025,두산,28,1B,9,0.28,-0.05,27,27,26,3,9,1,0,2,16,3,0,0,1,0,1,8,0,0,0,0.346,0.37,0.615,0.985,0.183,150.7,0.23
12613,안상현,1997년 01월 27일,우투우타,사파초-선린중-용마고,16 SK 2차 3라운드 26순위,2025,SSG,28,3B,102,0.71,-0.27,289,280,258,38,68,8,2,6,98,15,17,6,18,2,0,85,2,9,2,0.264,0.314,0.38,0.694,0.105,85,0.45
12622,김찬형,1997년 12월 29일,우투우타,양정초-경남중-경남고,16 NC 2차 6라운드 53순위,2025,SSG,28,3B,44,-0.56,0.17,78,77,73,4,13,2,0,0,15,5,0,0,3,1,0,13,3,1,0,0.178,0.221,0.205,0.426,0.007,5.5,-0.39
12869,박정우,1998년 02월 01일,좌투좌타,역삼초-언북중-덕수고,17 KIA 2차 7라운드 64순위,2025,KIA,27,CF,53,0.4,0.04,75,75,62,17,17,2,0,0,19,4,2,1,10,3,0,12,1,0,0,0.274,0.4,0.306,0.706,0.138,117.1,0.45
12894,이유찬,1998년 08월 05일,우투우타,동막초-천안북중-북일고,17 두산 2차 5라운드 50순위,2025,두산,27,SS,89,0.99,-0.15,311,305,269,36,65,8,1,1,78,16,12,2,33,2,0,66,4,6,1,0.242,0.328,0.29,0.618,0.093,79,0.84
12903,김수윤,1998년 07월 16일,우투우타,삼성초-개성중-부산고,17 NC 2차 7라운드 68순위,2025,SSG,27,3B,7,-0.16,-0.01,12,12,11,0,1,0,0,0,1,0,0,0,0,1,0,4,0,0,0,0.091,0.167,0.091,0.258,-0.05,-43.2,-0.16
12916,이정훈,1994년 12월 07일,우투좌타,교문초-배재중-휘문고-경희대,17 KIA 2차 10라운드 94순위,2025,KT,31,LF,59,0.32,-0.4,148,148,132,20,34,4,0,4,50,14,0,1,13,3,0,48,4,0,0,0.258,0.338,0.379,0.717,0.12,96.3,-0.08
12917,김석환,1999년 02월 28일,좌투좌타,광주서석초-광주동성중-광주동성고,17 KIA 2차 3라운드 24순위,2025,KIA,26,LF,47,0.31,-0.39,134,134,117,14,31,1,2,2,42,16,0,0,14,2,0,55,0,0,1,0.265,0.351,0.359,0.71,0.123,103.8,-0.08
12922,박성한,1998년 03월 30일,우투좌타,순천북초-여수중-효천고,17 SK 2차 2라운드 16순위,2025,SSG,27,SS,127,4.74,0.55,538,536,452,73,124,23,2,7,172,48,5,6,79,3,1,93,6,2,2,0.274,0.384,0.381,0.765,0.149,120.8,5.28
12931,김민수,1998년 03월 18일,우투우타,서화초-동산중-제물포고,17 롯데 2차 2라운드 13순위,2025,LG,27,1B,13,-0.11,0.11,13,13,11,0,2,0,0,0,2,1,1,0,1,0,0,6,0,0,1,0.182,0.231,0.182,0.413,0.006,4.6,-0.01
12936,김성윤,1999년 02월 02일,좌투좌타,부산진구-양산원동중-포철공고,17 삼성 2차 4라운드 39순위,2025,삼성,26,RF,127,5.12,0.38,538,528,456,92,151,29,9,6,216,61,26,7,65,5,0,54,11,10,2,0.331,0.419,0.474,0.893,0.189,146.2,5.5
12941,홍현빈,1997년 08월 29일,우투좌타,신곡초-매송중-유신고,17 KT 2차 3라운드 21순위,2025,삼성,28,CF,32,-0.23,0.17,38,36,32,8,4,2,0,0,6,0,0,0,3,1,0,8,0,2,0,0.125,0.222,0.188,0.41,0.013,10.1,-0.06
12970,김민혁,1996년 05월 03일,우투우타,광주대성초-광주동성중-광주동성고,15 두산 2차 2라운드 16순위,2025,두산,29,1B,10,0.07,0.06,21,21,17,2,2,0,0,1,5,1,0,0,4,0,0,6,0,0,0,0.118,0.286,0.294,0.58,0.088,73.7,0.14
12988,안주형,1993년 08월 14일,우투좌타,부산중앙초-부산중-부경고-영남대,16 삼성 육성선수,2025,삼성,32,2B,8,-0.04,-0.26,18,18,17,3,4,0,0,1,7,2,0,1,1,0,0,5,1,0,0,0.235,0.278,0.412,0.69,0.096,76,-0.3
12995,로하스,1990년 05월 24일,우투양타,-,17 KT 자유선발,2025,KT,35,RF,95,1.39,-0.17,384,382,331,48,79,20,0,14,141,43,1,1,48,1,3,71,9,0,4,0.239,0.333,0.426,0.759,0.131,107,1.21
13006,안치영,1998년 05월 29일,우투좌타,부천원미-천안북중-북일고,17 KT 2차 6라운드 51순위,2025,KT,27,LF,47,0.06,0.03,56,52,44,9,10,1,0,1,14,6,0,2,4,3,0,13,1,4,1,0.227,0.327,0.318,0.645,0.098,78.7,0.09
13056,신민재,1996년 01월 21일,우투좌타,서흥초-동인천중-인천고,15 두산 육성선수,2025,LG,29,2B,135,4.18,-0.69,538,532,463,87,145,15,7,1,177,61,15,9,62,3,0,57,7,6,4,0.313,0.395,0.382,0.777,0.151,128.8,3.49
13073,전민재,1999년 06월 30일,우투우타,천안남산초-천안북중-대전고,18 두산 2차 4라운드 40순위,2025,롯데,26,SS,101,1.75,-0.62,369,359,331,39,95,15,0,5,125,34,3,3,22,4,0,63,7,10,2,0.287,0.337,0.378,0.715,0.115,90.6,1.13
13081,김형준,1999년 11월 02일,우투우타,가동초-세광중-세광고,18 NC 2차 1라운드 9순위,2025,NC,26,C,127,2.59,0.69,415,412,362,51,84,10,1,18,150,55,3,0,45,3,0,126,7,3,2,0.232,0.32,0.414,0.734,0.124,100.9,3.27
13082,오영수,2000년 01월 30일,우투좌타,사파초-신월중-용마고,18 NC 2차 2라운드 19순위,2025,NC,25,DH,67,0.09,-0.04,179,179,155,14,36,5,0,3,50,23,3,2,22,2,0,47,0,0,0,0.232,0.335,0.323,0.658,0.108,87.4,0.05
13094,추재현,1999년 02월 22일,좌투좌타,성동구-건대부중-신일고,18 넥센 2차 3라운드 28순위,2025,두산,26,LF,34,-0.22,-0.31,87,85,81,7,18,3,1,1,26,7,0,0,3,1,0,17,2,2,0,0.222,0.259,0.321,0.58,0.059,51.1,-0.53
13109,송찬의,1999년 02월 20일,우투우타,화곡초-선린중-선린고,18 LG 2차 7라운드 67순위,2025,LG,26,RF,66,-0.06,0.1,166,165,147,18,31,9,1,3,51,20,2,2,9,8,0,49,4,1,1,0.211,0.291,0.347,0.638,0.087,74.1,0.03
13112,문성주,1997년 02월 20일,좌투좌타,포철서초-포철중-경북고-강릉영동대,18 LG 2차 10라운드 97순위,2025,LG,28,RF,135,2.31,0.31,542,542,475,57,145,20,2,3,178,70,4,3,54,4,0,59,10,0,9,0.305,0.375,0.375,0.75,0.135,115.1,2.61
13113,한준수,1999년 02월 13일,우투좌타,광주서석초-광주동성중-광주동성고,18 KIA 1차,2025,KIA,26,C,103,0.98,-0.32,276,276,244,33,55,12,1,7,90,26,0,0,26,3,1,48,4,0,3,0.225,0.304,0.369,0.673,0.1,85.3,0.66
13128,최준우,1999년 03월 25일,우투좌타,방배초-대치중-장충고,18 SK 2차 4라운드 35순위,2025,SSG,26,LF,78,-0.12,-0.17,192,189,152,17,29,0,0,3,38,22,2,0,30,3,0,47,3,3,4,0.191,0.328,0.25,0.578,0.09,73.3,-0.29
13138,이원석,1999년 03월 31일,우투우타,화곡초-충암중-충암고,18 한화 2차 4라운드 34순위,2025,한화,26,RF,129,-0.08,0.66,248,241,212,60,43,7,0,4,62,24,22,3,23,4,0,51,4,7,2,0.203,0.29,0.292,0.582,0.074,62.4,0.58
13151,이호연,1995년 06월 03일,우투좌타,광주수창초-진흥중-광주제일고-성균관대,18 롯데 2차 6라운드 53순위,2025,KT,30,1B,32,0.3,-0.08,75,74,70,8,24,7,0,1,34,8,0,0,3,1,0,14,2,1,0,0.343,0.378,0.486,0.864,0.164,129.9,0.21
13154,정보근,1999년 08월 31일,우투우타,수영초-경남중-경남고,18 롯데 2차 9라운드 83순위,2025,롯데,26,C,93,0.02,0,152,147,129,4,24,4,1,1,33,15,0,0,18,1,1,39,4,4,0,0.186,0.291,0.256,0.547,0.066,52.8,0.02
13155,장두성,1999년 09월 16일,우투좌타,축현초-재능중-동산고,18 롯데 2차 10라운드 93순위,2025,롯데,26,CF,118,0.2,0.51,284,277,248,51,65,3,3,0,74,25,17,5,24,3,0,64,3,7,2,0.262,0.332,0.298,0.63,0.094,75,0.71
13161,윤정빈,1999년 06월 24일,우투좌타,신도초-부천중-부천고,18 삼성 2차 5라운드 42순위,2025,삼성,26,RF,25,-0.31,-0.36,46,46,40,3,7,1,0,0,8,3,0,0,4,0,0,18,1,0,2,0.175,0.239,0.2,0.439,0.019,14.1,-0.67
13168,강백호,1999년 07월 29일,우투좌타,부천북초-서울이수중-서울고,18 KT 2차 1라운드 1순위,2025,KT,26,DH,95,1.74,-0.06,369,367,321,41,85,18,1,15,150,61,2,4,44,3,3,64,9,0,1,0.265,0.358,0.467,0.825,0.154,125.9,1.68
13177,조대현,1999년 08월 06일,우투우타,길동초-매송중-유신고,18 KT 2차 10라운드 91순위,2025,KT,26,C,64,0.02,-0.4,90,84,75,7,14,4,0,0,18,11,0,0,7,2,0,22,0,6,0,0.187,0.274,0.24,0.514,0.051,41.5,-0.39
13194,이정범,1998년 04월 10일,좌투좌타,숭의초-동인천중-인천고,17 SK 2차 5라운드 46순위,2025,SSG,27,1B,3,-0.07,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,-0.17,-133.5,-0.07
13195,최상민,1999년 08월 20일,좌투좌타,석교초-청주중-북일고,18 SK 육성선수,2025,SSG,26,RF,23,-0.02,-0.12,9,9,7,5,1,0,0,0,1,1,1,1,1,1,0,5,0,0,0,0.143,0.333,0.143,0.476,0.07,57.5,-0.14
13223,변상권,1997년 04월 04일,우투좌타,상인천중-제물포고-재능대,18 넥센 육성선수,2025,키움,28,LF,12,-0.12,-0.01,20,20,19,2,5,2,0,0,7,4,0,0,0,0,0,2,0,0,1,0.263,0.25,0.368,0.618,0.057,51.8,-0.13
13250,한석현,1994년 05월 17일,좌투좌타,대천중-경남고,14 LG 2차 5라운드 48순위,2025,NC,31,CF,61,0.02,0.23,138,134,113,18,22,5,0,3,36,21,1,1,12,7,0,27,1,4,2,0.195,0.306,0.319,0.625,0.09,73.3,0.26
13261,천재환,1994년 04월 01일,우투우타,대전신흥초-공주중-화순고-고려대,17 NC 육성선수,2025,NC,31,CF,129,0.14,-0.08,294,288,261,47,62,10,3,6,96,31,15,5,17,5,0,58,3,6,5,0.238,0.292,0.368,0.66,0.09,74,0.06
13676,권광민,1997년 12월 12일,좌투좌타,서울청구초-홍은중-장충고,22 한화 2차 5라운드 41순위,2025,한화,28,1B,15,-0.23,-0.05,18,18,18,2,3,1,0,0,4,0,0,0,0,0,0,5,1,0,0,0.167,0.167,0.222,0.389,-0.022,-17.8,-0.28
14110,박민석,2000년 04월 13일,우투우타,성동초-덕수중-장충고,19 KT 2차 5라운드 41순위,2025,KT,25,SS,19,0.08,0.02,21,21,19,5,5,1,1,0,8,1,0,1,2,0,0,4,0,0,0,0.263,0.333,0.421,0.754,0.134,114.3,0.1
14115,김도환,2000년 04월 14일,우투우타,의정부-영동중-신일고,19 삼성 2차 2라운드 12순위,2025,삼성,25,C,6,0.01,0.05,14,14,14,3,4,1,0,0,5,1,0,0,0,0,0,4,0,0,0,0.286,0.286,0.357,0.643,0.076,54.6,0.06
14116,양우현,2000년 04월 13일,우투좌타,남정초-충암중-충암고,19 삼성 2차 3라운드 22순위,2025,삼성,25,2B,14,-0.13,-0.01,16,16,16,3,3,1,0,0,4,4,0,0,0,0,0,2,0,0,0,0.188,0.188,0.25,0.438,-0.004,-2.8,-0.15
14117,이병헌,1999년 10월 26일,우투우타,숭의초-신흥중-제물포고,19 삼성 2차 4라운드 32순위,2025,삼성,26,C,55,-0.14,0.04,59,59,55,5,11,3,0,1,17,7,0,0,3,1,0,13,1,0,0,0.2,0.254,0.309,0.563,0.056,43.2,-0.1
14121,이해승,2000년 08월 01일,우투우타,인천서림초-신흥중-인천고,19 삼성 2차 8라운드 72순위,2025,삼성,25,SS,8,0,-0.36,5,5,5,2,1,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0.2,0.2,0.2,0.4,-0.014,-10.8,-0.36
14122,박승규,2000년 09월 02일,우투우타,일산초-덕수중-경기고,19 삼성 2차 9라운드 82순위,2025,삼성,25,CF,64,1.23,0.1,200,199,174,39,50,5,0,6,73,14,5,4,21,4,0,43,2,1,0,0.287,0.377,0.42,0.797,0.152,118.9,1.33
14124,변우혁,2000년 03월 18일,우투우타,일산초-현도중-북일고,19 한화 1차,2025,KIA,25,3B,47,-0.49,0.39,153,153,142,11,31,7,0,0,38,17,0,0,10,1,0,47,3,0,0,0.218,0.275,0.268,0.543,0.054,45.8,-0.11
14125,노시환,2000년 12월 03일,우투우타,수영초-경남중-경남고,19 한화 2차 1라운드 3순위,2025,한화,25,3B,144,4.47,0.41,624,618,539,97,140,28,2,32,268,101,14,5,70,11,10,125,22,0,4,0.26,0.354,0.497,0.851,0.156,129.7,4.88
14126,유로결,2000년 05월 30일,우투우타,광주서림초-광주동성중-광주제일고,19 한화 2차 2라운드 13순위,2025,한화,25,RF,20,-0.14,-0.23,16,14,13,1,2,0,0,0,2,0,1,0,0,1,0,4,0,2,0,0.154,0.214,0.154,0.368,-0.012,-9.5,-0.37
14133,주성원,2000년 08월 30일,우투우타,부산남구-신정중-개성고,19 넥센 2차 3라운드 24순위,2025,키움,25,RF,58,0.05,0.09,174,174,156,21,39,6,0,1,48,12,4,0,13,4,0,45,2,0,1,0.25,0.322,0.308,0.63,0.091,81.3,0.13
14137,문보경,2000년 07월 19일,우투좌타,동대문-덕수중-신일고,19 LG 2차 3라운드 25순위,2025,LG,25,3B,141,4.72,-0.53,607,605,515,91,142,21,1,24,237,108,3,1,79,4,3,108,15,0,9,0.276,0.371,0.46,0.831,0.159,135.5,4.18
14140,구본혁,1997년 01월 11일,우투우타,중대초-잠신중-장충고-동국대,19 LG 2차 6라운드 55순위,2025,LG,28,3B,131,2.25,1.33,397,384,343,41,98,16,2,1,121,38,10,5,36,6,1,44,4,12,0,0.286,0.364,0.353,0.717,0.125,106,3.59
14147,하재훈,1990년 10월 29일,우투우타,양덕초-마산동중-용마고,19 SK 2차 2라운드 16순위,2025,SSG,35,RF,18,-0.44,-0.03,61,61,56,6,8,0,0,3,17,8,1,2,4,0,0,21,1,0,1,0.143,0.197,0.304,0.501,0.027,21.9,-0.48
14153,채현우,1995년 11월 21일,우투우타,칠성초-경복중-상원고-송원대,19 SK 2차 8라운드 76순위,2025,SSG,30,LF,41,-0.14,0.25,52,52,48,8,9,1,1,1,15,9,2,0,3,0,0,13,1,0,1,0.188,0.231,0.313,0.544,0.045,37.4,0.11
14160,고승민,2000년 08월 11일,우투좌타,군산신풍초-배명중-북일고,19 롯데 2차 1라운드 8순위,2025,롯데,25,2B,121,1.66,0.39,538,532,469,71,127,21,2,4,164,45,5,1,56,3,1,83,8,6,4,0.271,0.35,0.35,0.7,0.118,94.3,2.05
14169,신윤후,1996년 01월 05일,우투우타,무학초-마산중-마산고-동의대,19 롯데 2차 10라운드 98순위,2025,롯데,29,CF,12,-0.19,-0.02,13,12,12,1,2,0,0,0,2,0,1,0,0,0,0,3,0,1,0,0.167,0.167,0.167,0.334,-0.04,-31,-0.21
14170,김대한,2000년 12월 06일,우투우타,숭인초-강북-덕수중-휘문고,19 두산 1차,2025,두산,25,LF,16,-0.18,-0.14,37,37,36,1,7,0,0,1,10,5,0,1,1,0,0,6,0,0,0,0.194,0.216,0.278,0.494,0.023,20.6,-0.32
14172,송승환,2000년 10월 28일,우투우타,신기초-금천구-양천중-서울고,19 두산 2차 2라운드 19순위,2025,NC,25,DH,13,-0.12,-0.12,15,15,15,0,3,1,0,0,4,2,0,0,0,0,0,6,0,0,0,0.2,0.2,0.267,0.467,0.007,5.9,-0.24
14175,김태근,1996년 08월 10일,우투우타,광진-건대부중-배명고-건국대,19 두산 2차 5라운드 49순위,2025,삼성,29,LF,11,0.08,-0.1,14,14,12,2,4,0,0,0,4,0,0,0,2,0,0,4,0,0,0,0.333,0.429,0.333,0.762,0.156,123.2,-0.02
14181,오선우,1996년 12월 13일,좌투좌타,성동초-자양중-배명고-인하대,19 KIA 2차 5라운드 50순위,2025,KIA,29,1B,124,0.95,-0.92,474,474,437,58,116,17,1,18,189,56,0,2,34,3,2,158,11,0,0,0.265,0.323,0.432,0.755,0.124,105,0.03
14187,최승민,1996년 07월 01일,우투좌타,서울학동초-대치중-신일고,15 NC 육성선수,2025,LG,29,LF,19,-0.11,-0.35,6,6,5,6,0,0,0,0,0,0,1,2,1,0,0,2,0,0,0,0,0.167,0,0.167,-0.049,-41.5,-0.46
14191,강민성,1999년 12월 08일,우투우타,옥산초-경상중-경북고,19 KT 2차 6라운드 51순위,2025,KT,26,2B,25,-0.43,-0.04,36,36,30,0,1,0,0,0,1,1,0,0,5,0,0,15,1,0,1,0.033,0.167,0.033,0.2,-0.047,-38.2,-0.46
14220,서호철,1996년 10월 16일,우투우타,순천남산초-순천이수중-효천고-동의대,19 NC 2차 9라운드 87순위,2025,NC,29,1B,103,-0.34,-0.48,292,282,263,25,70,7,1,3,88,30,7,3,8,7,0,51,7,10,4,0.266,0.301,0.335,0.636,0.081,65.5,-0.82
14221,최정원,2000년 06월 24일,우투좌타,서원초-청주중-청주고,19 NC 2차 7라운드 67순위,2025,NC,25,CF,91,1.21,0.1,155,151,120,40,33,3,0,0,36,11,30,6,18,12,0,22,0,4,1,0.275,0.417,0.3,0.717,0.145,117.3,1.31
14222,김범준,2000년 04월 20일,우투우타,대현초-제일중-대구고,19 NC 2차 5라운드 47순위,2025,NC,25,LF,1,-0.02,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.17,-139.5,-0.02
14577,김병휘,2001년 02월 16일,우투우타,효제초-홍은중-장충고,20 키움 2차 4라운드 37순위,2025,키움,24,2B,7,0.11,-0.15,6,6,4,2,1,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0.25,0.5,0.25,0.75,0.202,185.8,-0.04
14580,박주홍,2001년 04월 16일,좌투좌타,하남-건대부중-장충고,20 키움 1차,2025,키움,24,RF,102,0.27,-0.08,283,281,248,33,56,11,3,3,82,23,11,1,30,1,0,72,5,2,2,0.226,0.31,0.331,0.641,0.096,84,0.19
14584,현원회,2001년 07월 08일,우투우타,가동초-경상중-대구고,20 SK 2차 4라운드 40순위,2025,SSG,24,DH,21,-0.04,0.21,62,62,59,6,18,1,0,1,22,6,0,0,3,0,0,16,3,0,0,0.305,0.339,0.373,0.712,0.112,89.2,0.17
14586,류효승,1996년 07월 16일,우투우타,칠성초-경상중-상원고-성균관대,20 SK 2차 6라운드 60순위,2025,SSG,29,DH,27,0.43,-0.06,103,103,94,18,27,5,0,6,50,16,0,1,7,2,0,28,1,0,0,0.287,0.35,0.532,0.882,0.167,132.6,0.37
14587,최지훈,1997년 07월 23일,우투좌타,광주수창초-무등중-광주제일고-동국대,20 SK 2차 3라운드 30순위,2025,SSG,28,CF,140,2.25,0.05,574,568,517,66,147,16,4,7,192,45,28,7,43,5,2,87,2,4,5,0.284,0.342,0.371,0.713,0.116,93.8,2.3
14590,손호영,1994년 08월 23일,우투우타,부곡초-평촌중-충훈고-홍익대,20 LG 2차 3라운드 23순위,2025,롯데,31,3B,97,0.24,-0.04,375,364,328,39,82,12,0,4,106,41,7,0,22,10,0,66,9,11,4,0.25,0.313,0.323,0.636,0.088,71.3,0.2
14591,이주형,2001년 04월 02일,우투좌타,해운대-센텀중-경남고,20 LG 2차 2라운드 13순위,2025,키움,24,CF,127,2.37,0.56,514,510,446,55,107,22,1,11,164,45,15,1,37,28,2,115,7,3,0,0.24,0.337,0.368,0.705,0.115,103.8,2.93
14597,박시원,2001년 05월 30일,우투좌타,광주서림초-광주동성중-광주제일고,20 NC 2차 2라운드 11순위,2025,NC,24,RF,52,-0.13,-0.28,60,59,54,12,11,2,0,1,16,4,1,0,5,0,0,18,1,1,0,0.204,0.271,0.296,0.567,0.064,50.7,-0.41
14603,강현우,2001년 04월 13일,우투우타,부천원미-부천중-유신고,20 KT 2차 1라운드 2순위,2025,KT,24,C,40,0.05,-0.16,78,75,64,5,12,1,0,1,16,8,0,0,10,0,0,14,1,3,1,0.188,0.293,0.25,0.543,0.068,55.5,-0.11
14605,윤준혁,2001년 07월 26일,우투우타,은평-충암중-충암고,20 KT 2차 4라운드 32순위,2025,KT,24,1B,28,-0.32,0.14,18,17,17,4,1,1,0,0,2,0,1,0,0,0,0,5,0,1,0,0.059,0.059,0.118,0.177,-0.105,-83.3,-0.18
14606,천성호,1997년 10월 30일,우투좌타,광주화정초-충장중-진흥고-단국대,20 KT 2차 2라운드 12순위,2025,KT,28,2B,31,0.37,0.55,81,81,67,10,14,5,1,0,21,7,0,1,10,4,0,12,1,0,0,0.209,0.346,0.313,0.659,0.115,91.9,0.92
14606,천성호,1997년 10월 30일,우투좌타,광주화정초-충장중-진흥고-단국대,20 KT 2차 2라운드 12순위,2025,LG,28,2B,52,0.03,-0.39,118,114,106,14,27,4,1,1,36,10,3,0,7,1,0,17,1,4,0,0.255,0.307,0.34,0.647,0.091,76.5,-0.37
14611,박민,2001년 06월 05일,우투우타,갈산초-성남중-야탑고,20 KIA 2차 1라운드 6순위,2025,KIA,24,3B,71,-0.21,0.06,105,102,94,11,19,5,0,1,27,6,1,0,5,3,0,33,1,3,0,0.202,0.265,0.287,0.552,0.055,47,-0.15
14612,홍종표,2000년 05월 02일,우투좌타,동막초-영남중-강릉고,20 KIA 2차 2라운드 16순위,2025,KIA,25,2B,44,-0.2,0.35,64,60,52,10,10,0,0,0,10,1,1,1,7,0,0,14,1,4,1,0.192,0.283,0.192,0.475,0.045,37.9,0.15
14612,홍종표,2000년 05월 02일,우투좌타,동막초-영남중-강릉고,20 KIA 2차 2라운드 16순위,2025,NC,25,2B,18,-0.34,-0.43,21,21,21,6,2,0,0,0,2,2,0,1,0,0,0,9,0,0,0,0.095,0.095,0.095,0.19,-0.096,-76.3,-0.77
14618,김지찬,2001년 03월 08일,우투좌타,이천-모가중-라온고,20 삼성 2차 2라운드 15순위,2025,삼성,24,CF,90,1.41,-0.48,373,363,317,59,89,9,2,0,102,23,22,3,38,5,0,44,7,10,3,0.281,0.364,0.322,0.686,0.118,93.1,0.94
14642,황성빈,1997년 12월 19일,우투좌타,관산초-안산중앙중-소래고-경남대,20 롯데 2차 5라운드 44순위,2025,롯데,28,CF,79,0.41,-0.27,273,270,246,43,63,4,4,1,78,22,25,4,18,4,0,46,3,3,2,0.256,0.315,0.317,0.632,0.089,72.2,0.14
14659,한재환,2001년 10월 19일,우투우타,기장-대신중-개성고,20 NC 2차 8라운드 71순위,2025,NC,24,DH,16,-0.16,0.13,31,31,27,2,5,0,0,0,5,4,0,0,2,2,0,14,0,0,0,0.185,0.29,0.185,0.475,0.045,36.6,-0.03
14661,박영빈,1997년 07월 16일,우투좌타,의정부-청량중-충암고-경희대,20 NC 육성선수,2025,NC,28,CF,16,0.05,-0.03,5,5,4,8,1,0,0,0,1,1,4,2,1,0,0,2,0,0,0,0.25,0.4,0.25,0.65,0.131,100.9,0.03
14680,함창건,2001년 08월 18일,좌투좌타,백운초-충암중-충암고,20 LG 2차 7라운드 63순위,2025,LG,24,LF,15,-0.21,0.3,36,36,32,2,6,2,0,0,8,2,0,0,3,0,0,9,1,0,1,0.188,0.25,0.25,0.5,0.038,33,0.1
14704,박정현,2001년 07월 27일,우투우타,부천북초-부천중-유신고,20 한화 2차 8라운드 78순위,2025,한화,24,DH,2,-0.05,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.17,-136.1,-0.05
14706,임종찬,2001년 09월 28일,우투좌타,우암초-청주중-북일고,20 한화 2차 3라운드 28순위,2025,한화,24,RF,17,-0.12,-0.02,35,35,30,2,5,1,0,1,9,2,2,0,5,0,0,13,0,0,0,0.167,0.286,0.3,0.586,0.081,66,-0.14
14707,최인호,2000년 01월 30일,우투좌타,송정동초-광주동성중-포철고,20 한화 2차 6라운드 58순위,2025,한화,25,DH,78,0.15,-0.1,159,158,139,7,36,9,0,2,51,19,1,0,13,5,0,29,5,1,1,0.259,0.342,0.367,0.709,0.118,96.9,0.05
14716,김한별,2001년 01월 18일,우투우타,효제초-선린중-배재고,20 NC 2차 7라운드 61순위,2025,NC,24,2B,76,0.43,0.07,72,70,64,14,20,2,0,0,22,5,1,0,3,3,0,5,2,2,0,0.313,0.371,0.344,0.715,0.121,99.1,0.5
14736,박지훈,2000년 09월 07일,우투우타,김해삼성초-경남중-마산고,20 두산 2차 5라운드 49순위,2025,두산,25,3B,37,1,-0.18,55,54,48,11,20,4,0,1,27,8,1,0,5,1,0,12,1,1,0,0.417,0.481,0.563,1.044,0.239,203.7,0.82
14737,오명진,2001년 09월 04일,우투좌타,대전신흥초-한밭중-북일고,20 두산 2차 6라운드 59순위,2025,두산,24,2B,107,1.15,0.65,371,363,331,38,87,14,4,4,121,41,5,3,27,3,1,94,3,7,3,0.263,0.321,0.366,0.687,0.105,89.8,1.8
14765,김주원,2002년 07월 30일,우투양타,삼일초-안산중앙중-유신고,21 NC 2차 1라운드 6순위,2025,NC,23,SS,144,6.27,0.06,624,620,539,98,156,26,8,15,243,65,44,11,63,16,1,111,8,4,2,0.289,0.379,0.451,0.83,0.162,131.1,6.33
14766,오태양,2002년 04월 25일,우투우타,방배초-대치중-청원고,21 NC 2차 5라운드 46순위,2025,NC,23,CF,14,0.07,-0.11,13,13,12,6,3,0,0,0,3,1,2,1,1,0,0,3,0,0,0,0.25,0.308,0.25,0.558,0.066,51.8,-0.04
14771,안재석,2002년 02월 15일,우투좌타,성내초-배재중-서울고,21 두산 1차,2025,두산,23,SS,35,1.41,0.37,147,145,135,25,43,16,1,4,73,20,2,1,11,0,1,27,3,1,0,0.319,0.37,0.541,0.911,0.177,149.4,1.77
14773,강현구,2002년 06월 16일,우투우타,도림초-동산중-인천고,21 두산 2차 3라운드 30순위,2025,두산,23,DH,1,-0.05,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.17,-151,-0.05
